id_dmr	root_mC	leaf_mC	adj_p	fold_change	status
dmr_22181_CG	0.425666666666667	0.576	0.000109488184961703	1.35317149569303	equal
dmr_22182_CG	0.913	0.898	5.61129514379191e-15	1.01670378619154	equal
dmr_22183_CG	0	0.581	2.23443612025702e-07	Inf	dm
dmr_22184_CG	0.388333333333333	0.544	2.43269939712369e-05	1.40085836909871	equal
dmr_22185_CG	0.85	0.766	0.000225152014082227	1.10966057441253	equal
dmr_22186_CG	0.927	0.9105	7.97628745403679e-08	1.01812191103789	equal
dmr_22187_CG	0.365	0.661	0.0121714349529065	1.81095890410959	equal
dmr_22188_CG	0.365	0.661	0.0121714349529065	1.81095890410959	equal
dmr_22189_CG	0.00533333333333333	0.2075	2.53379047194224e-14	38.90625	dm
dmr_2218_CG	0.806666666666667	0.7775	0.0350957894848878	1.03751339764201	equal
dmr_2218_CHG	0.141666666666667	0	0.827021508260946	Inf	equal
dmr_22190_CG	0.373666666666667	0.5305	5.73990620165983e-10	1.41971454058876	equal
dmr_22191_CG	0.0863333333333333	0.39	2.37615666396467e-39	4.51737451737452	dm
dmr_22192_CG	0.0863333333333333	0.39	2.37615666396467e-39	4.51737451737452	dm
dmr_22193_CG	0.0863333333333333	0.39	2.37615666396467e-39	4.51737451737452	dm
dmr_22194_CG	0.824333333333333	0.6975	0.0223552084694482	1.18183990442055	equal
dmr_22195_CG	0.439666666666667	0.6585	0.0012617633343244	1.49772554965883	equal
dmr_22196_CG	0.439666666666667	0.6585	0.0012617633343244	1.49772554965883	equal
dmr_22197_CG	0.322333333333333	0.1735	0.237116339659233	1.85782901056676	equal
dmr_22198_CG	0.644666666666667	0.6445	0.689692779737538	1.00025859839669	equal
dmr_22199_CG	0.927666666666667	0.7065	8.37474889200203e-16	1.31304552960604	equal
dmr_2219_CG	0.806666666666667	0.7775	0.0350957894848878	1.03751339764201	equal
dmr_2219_CHG	0.238666666666667	0.2085	0.423068939253122	1.14468425259792	equal
dmr_221_CG	0.464	0.4785	0.719193348700743	1.03125	equal
dmr_221_CHG	0.498666666666667	0.332	0.000699512451121116	1.50200803212851	equal
dmr_221_CHH	0.104	0.0815	0.281406216833831	1.2760736196319	equal
dmr_22200_CG	0.666666666666667	0.6055	0.0983192811973788	1.1010184420589	equal
dmr_22201_CG	0.899666666666667	0.6855	0.00010963458418827	1.31242402139557	equal
dmr_22202_CG	0.249	0	0.334405446842077	Inf	equal
dmr_22203_CG	0.882	0.802	0.119159166763576	1.0997506234414	equal
dmr_22204_CG	0.794333333333333	0.498	0.000138300447592277	1.595046854083	equal
dmr_22205_CG	0.231333333333333	0.112	0.480534039303163	2.06547619047619	equal
dmr_22206_CG	0.887333333333333	0.9105	9.30351849403997e-09	1.02610818933133	equal
dmr_22207_CG	0.893333333333333	0.825	5.3681787286223e-05	1.08282828282828	equal
dmr_22208_CG	0.831666666666667	0.6635	3.54231811779368e-24	1.25345390605376	equal
dmr_22209_CG	0.760333333333333	0.004	1.21261848571139e-101	190.083333333333	dm
dmr_2220_CG	0.806666666666667	0.7775	0.0350957894848878	1.03751339764201	equal
dmr_2220_CHG	0.557333333333333	0.5005	0.0466791504346272	1.11355311355311	equal
dmr_22210_CG	0.815	0.6645	1.08308306833031e-09	1.22648607975922	equal
dmr_22211_CG	0.826666666666667	0.7855	0.0729346865758018	1.05240823254827	equal
dmr_22212_CG	0.770666666666667	0.7715	0.440448922501099	1.00108131487889	equal
dmr_22213_CG	0	0	0.292178774130518	NA	equal
dmr_22214_CG	0	0	0.292178774130518	NA	equal
dmr_22215_CG	0.687	0.8085	0.0763192001289425	1.17685589519651	equal
dmr_22216_CG	0.834666666666667	0.8335	9.37306142521846e-08	1.00139972005599	equal
dmr_22217_CG	0.914	0.9395	3.54144342962682e-05	1.02789934354486	equal
dmr_22218_CG	0.330666666666667	0.5355	6.16355539120439e-19	1.61945564516129	equal
dmr_22219_CG	0.787333333333333	0.719	0.00100469248012734	1.09503940658322	equal
dmr_2221_CG	0.858333333333333	0.788	1.22946693782927e-06	1.08925549915398	equal
dmr_2221_CHG	0.345666666666667	0.397	0.180649259083594	1.14850530376085	equal
dmr_22220_CG	0.618	0.7175	0.0162308029063535	1.16100323624595	equal
