pheno_name	pool	p	q	n	entropy	p_val
Family_Beijerinckiaceae	1	1	2	31	0.414922223585827	0.0055449500554939
Family_Beijerinckiaceae	2	1	2	16	0.625	0.0468109028960818
Family_Blastocatellaceae	1	0	25	31	0	1
Family_Blastocatellaceae	2	0	5	16	0	1
Family_Brassicibacter	1	8	0	31	0	1
Family_Brassicibacter	2	0	9	16	0	1
Family_Brevibacillaceae	1	0	15	31	0	1
Family_Brevibacillaceae	2	0	0	16	0	1
Family_Bryobacteraceae	1	9	0	31	0	1
Family_Bryobacteraceae	2	6	0	16	0	1
Family_Burkholderiaceae	1	1	9	31	0.677827035189933	0
Family_Burkholderiaceae	2	1	1	16	0.5	0.0196692913385827
Family_Butyricicoccaceae	1	1	6	31	0.618374166721974	0
Family_Butyricicoccaceae	2	0	3	16	0	1
Family_CPla-3_termite_group	1	7	0	31	0	1
Family_CPla-3_termite_group	2	1	3	16	0.702819531114783	0.0429578675838349
Family_Caedibacteraceae	1	2	1	31	0.414922223585827	0
Family_Caedibacteraceae	2	1	3	16	0.702819531114783	0.0393730297723292
Family_Caldalkalibacillaceae	1	1	7	31	0.64458342028038	0
Family_Caldalkalibacillaceae	2	0	1	16	0	1
Family_Caldicoprobacteraceae	1	8	0	31	0	1
Family_Caldicoprobacteraceae	2	0	0	16	0	1
Family_Caldilineaceae	1	0	19	31	0	1
Family_Caldilineaceae	2	0	15	16	0	1
Family_Caloramatoraceae	1	16	0	31	0	1
Family_Caloramatoraceae	2	13	0	16	0	1
Family_Caulobacteraceae	1	0	11	31	0	1
Family_Caulobacteraceae	2	1	1	16	0.5	0.0196692913385827
Family_Cellulomonadaceae	1	0	9	31	0	1
Family_Cellulomonadaceae	2	0	1	16	0	1
Family_Cellvibrionaceae	1	17	0	31	0	1
Family_Cellvibrionaceae	2	6	0	16	0	1
Family_Chitinimonadaceae	1	0	27	31	0	1
Family_Chitinimonadaceae	2	0	11	16	0	1
Family_Chitinophagaceae	1	0	31	31	0	1
Family_Chitinophagaceae	2	0	16	16	0	1
Family_Chlamydiaceae	1	8	0	31	0	1
Family_Chlamydiaceae	2	0	1	16	0	1
Family_Chloroflexaceae	1	0	9	31	0	1
Family_Chloroflexaceae	2	3	0	16	0	1
Family_Christensenellaceae	1	0	3	31	0	1
Family_Christensenellaceae	2	0	1	16	0	1
Family_Chthoniobacteraceae	1	0	19	31	0	1
Family_Chthoniobacteraceae	2	0	12	16	0	1
Family_Clostridiaceae	1	6	1	31	0.618374166721974	0
Family_Clostridiaceae	2	5	0	16	0	1
Family_Comamonadaceae	1	18	0	31	0	1
Family_Comamonadaceae	2	12	0	16	0	1
Family_Coxiellaceae	1	1	0	31	0	1
Family_Coxiellaceae	2	2	0	16	0	1
Family_Crocinitomicaceae	1	11	0	31	0	1
Family_Crocinitomicaceae	2	1	2	16	0.625	0.0196692913385827
Family_Cryomorphaceae	1	1	2	31	0.414922223585827	0
Family_Cryomorphaceae	2	0	5	16	0	1
Family_Cyclobacteriaceae	1	0	18	31	0	1
Family_Cyclobacteriaceae	2	0	4	16	0	1
